0,1048576,3846282
1,1048576,594787
2,1048576,664127
3,1048576,616825
4,1048576,579445
5,1048576,579184
6,1048576,573564
7,1048576,569056
8,1048576,963753
9,1048576,567467
0,68157440,73309766
1,68157440,76137519
2,68157440,70805950
3,68157440,71711019
4,68157440,75361029
5,68157440,70447472
6,68157440,67976646
7,68157440,70780999
8,68157440,65014479
9,68157440,60503295
0,135266304,136361786
1,135266304,122127479
2,135266304,124980454
3,135266304,126668996
4,135266304,130831733
5,135266304,122703095
6,135266304,120774759
7,135266304,122709140
8,135266304,125683215
9,135266304,125977182
0,202375168,249513299
1,202375168,187607998
2,202375168,181045834
3,202375168,194013597
4,202375168,188284816
5,202375168,194224731
6,202375168,189940237
7,202375168,188020721
8,202375168,182023055
9,202375168,185425534
0,269484032,255506323
1,269484032,247171257
2,269484032,252625863
3,269484032,205977834
4,269484032,191491208
5,269484032,189124444
6,269484032,188446590
7,269484032,188303791
8,269484032,188265604
9,269484032,188395275
0,336592896,907489070
1,336592896,314626645
2,336592896,298893686
3,336592896,644247732
4,336592896,307990168
5,336592896,297209426
6,336592896,320724375
7,336592896,252527802
8,336592896,240473154
9,336592896,237081364
0,403701760,294660656
1,403701760,374675634
2,403701760,306801275
3,403701760,306398321
4,403701760,458826906
5,403701760,420723625
6,403701760,309780346
7,403701760,296411465
8,403701760,286892170
9,403701760,283753743
0,470810624,361228544
1,470810624,359109533
2,470810624,339459069
3,470810624,333021341
4,470810624,334280383
5,470810624,334779395
6,470810624,332544156
7,470810624,331995722
8,470810624,330798976
9,470810624,338424034
0,537919488,406520244
1,537919488,399617645
2,537919488,383686915
3,537919488,383075232
4,537919488,384004794
5,537919488,390852547
6,537919488,391388770
7,537919488,384744596
8,537919488,380182203
9,537919488,378333380
0,605028352,459601558
1,605028352,455286668
2,605028352,434493926
3,605028352,429898730
4,605028352,426221557
5,605028352,424482143
6,605028352,432636487
7,605028352,430957183
8,605028352,428467551
9,605028352,427108604
0,672137216,519488348
1,672137216,509345437
2,672137216,503823544
3,672137216,479075149
4,672137216,477532504
5,672137216,480209257
6,672137216,479106482
7,672137216,475914646
8,672137216,478160712
9,672137216,480204231
0,739246080,562060848
1,739246080,560294004
2,739246080,526418561
3,739246080,527965000
4,739246080,525473135
5,739246080,524756580
6,739246080,529030687
7,739246080,525912492
8,739246080,524456712
9,739246080,524863399
0,806354944,638078715
1,806354944,609745035
2,806354944,583158560
3,806354944,580655412
4,806354944,575632716
5,806354944,575062742
6,806354944,578691574
7,806354944,576058791
8,806354944,574474438
9,806354944,575919180
0,873463808,1260108393
1,873463808,664141532
2,873463808,663643104
3,873463808,633673659
4,873463808,627144595
5,873463808,623725747
6,873463808,623356858
7,873463808,625411990
8,873463808,624490366
9,873463808,623094274
0,940572672,671837557
1,940572672,715096854
2,940572672,678354165
3,940572672,671943666
4,940572672,674540689
5,940572672,671835290
6,940572672,674523750
7,940572672,672835150
8,940572672,672151956
9,940572672,674809203
0,1007681536,33031755931
1,1007681536,802279676
2,1007681536,32312144490
3,1007681536,759189765
4,1007681536,32946243401
5,1007681536,754334193
6,1007681536,33105816689
7,1007681536,799184722
8,1007681536,33013905006
9,1007681536,793675984
0,1074790400,3072965272
1,1074790400,32312986883
2,1074790400,2891204287
3,1074790400,32779171425
4,1074790400,2896311659
5,1074790400,32388527007
6,1074790400,2884591668
7,1074790400,32600828770
8,1074790400,3001536366
9,1074790400,32457299096
0,1141899264,37727439854
1,1141899264,1368627471
2,1141899264,37555745491
3,1141899264,1332651765
4,1141899264,36158819764
5,1141899264,1300423758
6,1141899264,36597805912
7,1141899264,1340577362
8,1141899264,36851845240
9,1141899264,1264100468
0,1209008128,3514713476
